y,e
0.38,0.32
0.386326531,0.32
0.392653061,0.32
0.398979592,0.32
0.405306122,0.32
0.411632653,0.32
0.417959184,0.32
0.424285714,0.32
0.430612245,0.32
0.436938776,0.32
0.443265306,0.32
0.449591837,0.32
0.455918367,0.32
0.462244898,0.32
0.468571429,0.32
0.474897959,0.32
0.48122449,0.32
0.48755102,0.32
0.493877551,0.32
0.500204082,0.32
0.506530612,0.32
0.512857143,0.32
0.519183673,0.32
0.525510204,0.32
0.531836735,0.32
0.538163265,0.32
0.544489796,0.32
0.550816327,0.32
0.557142857,0.32
0.563469388,0.32
0.569795918,0.32
0.576122449,0.32
0.58244898,0.32
0.58877551,0.32
0.595102041,0.32
0.601428571,0.32
0.607755102,0.32
0.614081633,0.32
0.620408163,0.32
0.626734694,0.32
0.633061224,0.32
0.639387755,0.32
0.645714286,0.32
0.652040816,0.32
0.658367347,0.32
0.664693878,0.32
0.671020408,0.32
0.677346939,0.32
0.683673469,0.32
0.69,0.32
0.7,0.313
0.71,0.31
0.72,0.309
0.73,0.307
0.74,0.306
0.75,0.304
0.76,0.301
0.77,0.303
0.78,0.301
0.79,0.299
0.8,0.298
0.81,0.297
0.82,0.295
0.83,0.292
0.84,0.292
0.85,0.29
0.86,0.29
0.87,0.288
0.88,0.287
0.89,0.285
0.9,0.284
0.91,0.282
0.92,0.282
0.93,0.281
0.94,0.277
0.95,0.277
0.96,0.275
0.97,0.276
0.98,0.274
0.99,0.275
1,0.276
1.2,0.262
1.214,0.263
1.223,0.258
1.232,0.258
1.241,0.256
1.251,0.254
1.261,0.252
1.271,0.25
1.281,0.249
1.291,0.247
1.301,0.245
1.312,0.243
1.322,0.24
1.333,0.237
1.344,0.235
1.356,0.236
1.367,0.237
1.379,0.233
1.39,0.233
1.403,0.236
1.415,0.235
1.427,0.235
1.44,0.234
1.453,0.234
1.466,0.234
1.479,0.234
1.493,0.234
1.507,0.233
1.521,0.233
1.536,0.233
1.55,0.233
1.565,0.233
1.573,0.233
2,0.243
2.012,0.242
2.025,0.242
2.038,0.243
2.051,0.243
2.064,0.243
2.077,0.243
2.09,0.243
2.104,0.241
2.118,0.241
2.132,0.24
2.146,0.239
2.16,0.239
2.174,0.238
2.189,0.237
2.204,0.236
2.219,0.235
2.234,0.234
2.25,0.234
2.266,0.233
2.282,0.232
2.298,0.231
2.314,0.231
2.331,0.23
2.348,0.23
2.365,0.229
2.382,0.229
2.4,0.229
2.418,0.229
2.436,0.229
2.454,0.229
2.473,0.229
2.492,0.229
2.512,0.229
3.146,0.191
3.176,0.189
3.208,0.185
3.273,0.192
3.306,0.187
3.34,0.182
3.375,0.18
3.411,0.183
3.447,0.184
3.484,0.185
3.522,0.184
3.56,0.183
3.6,0.183
3.64,0.184
3.682,0.181
3.724,0.184
3.767,0.179
3.812,0.179
3.857,0.177
3.904,0.178
3.951,0.176
4,0.176
4.05,0.176
4.101,0.176
4.154,0.173
4.378,0.179
4.438,0.171
4.5,0.171
4.563,0.171
4.628,0.171
4.696,0.171
4.765,0.168
4.836,0.167
4.909,0.166
4.984,0.166
5.062,0.164
5.143,0.164
5.226,0.164
5.311,0.164
5.4,0.164
5.491,0.164
5.5,0.16
5.50950951,0.16
5.519019019,0.16
5.528528529,0.16
5.538038038,0.16
5.547547548,0.16
5.557057057,0.16
5.566566567,0.16
5.576076076,0.16
5.585585586,0.16
5.595095095,0.16
5.604604605,0.16
5.614114114,0.16
5.623623624,0.16
5.633133133,0.16
5.642642643,0.16
5.652152152,0.16
5.661661662,0.16
5.671171171,0.16
5.680680681,0.16
5.69019019,0.16
5.6996997,0.16
5.709209209,0.16
5.718718719,0.16
5.728228228,0.16
5.737737738,0.16
5.747247247,0.16
5.756756757,0.16
5.766266266,0.16
5.775775776,0.16
5.785285285,0.16
5.794794795,0.16
5.804304304,0.16
5.813813814,0.16
5.823323323,0.16
5.832832833,0.16
5.842342342,0.16
5.851851852,0.16
5.861361361,0.16
5.870870871,0.16
5.88038038,0.16
5.88988989,0.16
5.899399399,0.16
5.908908909,0.16
5.918418418,0.16
5.927927928,0.16
5.937437437,0.16
5.946946947,0.16
5.956456456,0.16
5.965965966,0.16
5.975475475,0.16
5.984984985,0.16
5.994494494,0.16
6.004004004,0.16
6.013513514,0.16
6.023023023,0.16
6.032532533,0.16
6.042042042,0.16
6.051551552,0.16
6.061061061,0.16
6.070570571,0.16
6.08008008,0.16
6.08958959,0.16
6.099099099,0.16
6.108608609,0.16
6.118118118,0.16
6.127627628,0.16
6.137137137,0.16
6.146646647,0.16
6.156156156,0.16
6.165665666,0.16
6.175175175,0.16
6.184684685,0.16
6.194194194,0.16
6.203703704,0.16
6.213213213,0.16
6.222722723,0.16
6.232232232,0.16
6.241741742,0.16
6.251251251,0.16
6.260760761,0.16
6.27027027,0.16
6.27977978,0.16
6.289289289,0.16
6.298798799,0.16
6.308308308,0.16
6.317817818,0.16
6.327327327,0.16
6.336836837,0.16
6.346346346,0.16
6.355855856,0.16
6.365365365,0.16
6.374874875,0.16
6.384384384,0.16
6.393893894,0.16
6.403403403,0.16
6.412912913,0.16
6.422422422,0.16
6.431931932,0.16
6.441441441,0.16
6.450950951,0.16
6.46046046,0.16
6.46996997,0.16
6.479479479,0.16
6.488988989,0.16
6.498498498,0.16
6.508008008,0.16
6.517517518,0.16
6.527027027,0.16
6.536536537,0.16
6.546046046,0.16
6.555555556,0.16
6.565065065,0.16
6.574574575,0.16
6.584084084,0.16
6.593593594,0.16
6.603103103,0.16
6.612612613,0.16
6.622122122,0.16
6.631631632,0.16
6.641141141,0.16
6.650650651,0.16
6.66016016,0.16
6.66966967,0.16
6.679179179,0.16
6.688688689,0.16
6.698198198,0.16
6.707707708,0.16
6.717217217,0.16
6.726726727,0.16
6.736236236,0.16
6.745745746,0.16
6.755255255,0.16
6.764764765,0.16
6.774274274,0.16
6.783783784,0.16
6.793293293,0.16
6.802802803,0.16
6.812312312,0.16
6.821821822,0.16
6.831331331,0.16
6.840840841,0.16
6.85035035,0.16
6.85985986,0.16
6.869369369,0.16
6.878878879,0.16
6.888388388,0.16
6.897897898,0.16
6.907407407,0.16
6.916916917,0.16
6.926426426,0.16
6.935935936,0.16
6.945445445,0.16
6.954954955,0.16
6.964464464,0.16
6.973973974,0.16
6.983483483,0.16
6.992992993,0.16
7.002502503,0.16
7.012012012,0.16
7.021521522,0.16
7.031031031,0.16
7.040540541,0.16
7.05005005,0.16
7.05955956,0.16
7.069069069,0.16
7.078578579,0.16
7.088088088,0.16
7.097597598,0.16
7.107107107,0.16
7.116616617,0.16
7.126126126,0.16
7.135635636,0.16
7.145145145,0.16
7.154654655,0.16
7.164164164,0.16
7.173673674,0.16
7.183183183,0.16
7.192692693,0.16
7.202202202,0.16
7.211711712,0.16
7.221221221,0.16
7.230730731,0.16
7.24024024,0.16
7.24974975,0.16
7.259259259,0.16
7.268768769,0.16
7.278278278,0.16
7.287787788,0.16
7.297297297,0.16
7.306806807,0.16
7.316316316,0.16
7.325825826,0.16
7.335335335,0.16
7.344844845,0.16
7.354354354,0.16
7.363863864,0.16
7.373373373,0.16
7.382882883,0.16
7.392392392,0.16
7.401901902,0.16
7.411411411,0.16
7.420920921,0.16
7.43043043,0.16
7.43993994,0.16
7.449449449,0.16
7.458958959,0.16
7.468468468,0.16
7.477977978,0.16
7.487487487,0.16
7.496996997,0.16
7.506506507,0.16
7.516016016,0.16
7.525525526,0.16
7.535035035,0.16
7.544544545,0.16
7.554054054,0.16
7.563563564,0.16
7.573073073,0.16
7.582582583,0.16
7.592092092,0.16
7.601601602,0.16
7.611111111,0.16
7.620620621,0.16
7.63013013,0.16
7.63963964,0.16
7.649149149,0.16
7.658658659,0.16
7.668168168,0.16
7.677677678,0.16
